
Simulation	Wahrscheinlichkeit	Generationen	Lebende Figuren	
1			10					50				33
2			10					50				445
3			10					50				248
4			10					50				231
5			10					500				983
10			33					74				971
6			50					500				867
7			50					500				968
13			100					50				20
14			100					20				27
8			50					500				961
9			50					500				984
15			25					25				926
16			25					50				802
17			25					75				981
18			25					100				945
21			50					10				920
19			25					250				969
22			50					25				929
23			50					50				890
24			50					75				903
25			50					100				998
27			10					1				57
28			20					1				490
29			30					1				782
20			25					100				975
30			40					1				930
31			50					1				988
32			60					1				914
33			70					1				790
34			80					1				670
35			90					1				431
26			50					1000				974
36			100					1				124
Simulation	Wahrscheinlichkeit	Generationen	Lebende Figuren	
1			10%					50				395
5			10%					100				330
3			10%					300				910
4			10%					200				693
2			10%					500				931
6			55%					100				980
7			54%					100				938
8			35%					100				1000
9			4%					100				8
10			45604%					100				20
11			46544%					100				20
